test_id,category,description,user_input,weight,orig_port,dest_port,max_days,expected_plans_count,expected_recommend_carrier,expected_cost_formula,expected_min_cost,notes
TC040,综合场景,完整业务流程,500kg货物从PORT02发往PORT11，7天内到，要门到门服务,500,PORT02,PORT11,7,,,,测试完整业务流程
TC041,综合场景,复杂需求,2吨紧急货物从PORT08运到PORT09，3天内到，要求空运门到门,2000,PORT08,PORT09,3,,,,测试复杂需求处理
TC042,综合场景,经济型需求,5000kg货物从PORT05运到PORT07，不着急，越便宜越好,5000,PORT05,PORT07,,,,,,测试经济型需求处理
TC043,港口覆盖,PORT02起运,100kg货物从PORT02运到PORT09,100,PORT02,PORT09,,,,,,测试PORT02起运
TC044,港口覆盖,PORT03起运,100kg货物从PORT03运到PORT09,100,PORT03,PORT09,,,,,,测试PORT03起运
TC045,港口覆盖,PORT04起运,100kg货物从PORT04运到PORT09,100,PORT04,PORT09,,,,,,测试PORT04起运
TC046,港口覆盖,PORT05起运,100kg货物从PORT05运到PORT09,100,PORT05,PORT09,,,,,,测试PORT05起运
TC047,港口覆盖,PORT06起运,100kg货物从PORT06运到PORT09,100,PORT06,PORT09,,,,,,测试PORT06起运
TC048,港口覆盖,PORT07起运,100kg货物从PORT07运到PORT09,100,PORT07,PORT09,,,,,,测试PORT07起运
TC049,港口覆盖,PORT08起运,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试PORT08起运
TC050,港口覆盖,PORT09起运,100kg货物从PORT09运到PORT08,100,PORT09,PORT08,,,,,,测试PORT09起运
TC051,港口覆盖,PORT10起运,100kg货物从PORT10运到PORT09,100,PORT10,PORT09,,,,,,测试PORT10起运
TC052,港口覆盖,PORT11起运,100kg货物从PORT11运到PORT09,100,PORT11,PORT09,,,,,,测试PORT11起运
TC053,承运商覆盖,V444_0承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_0承运商
TC054,承运商覆盖,V444_1承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_1承运商
TC055,承运商覆盖,V444_2承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_2承运商
TC056,承运商覆盖,V444_3承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_3承运商
TC057,承运商覆盖,V444_4承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_4承运商
TC058,承运商覆盖,V444_5承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_5承运商
TC059,承运商覆盖,V444_6承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_6承运商
TC060,承运商覆盖,V444_7承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_7承运商
TC061,承运商覆盖,V444_8承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_8承运商
TC062,承运商覆盖,V444_9承运商,100kg货物从PORT08运到PORT09,100,PORT08,PORT09,,,,,,测试V444_9承运商
TC063,运输方式,空运筛选,100kg货物从PORT08运到PORT09，要空运,100,PORT08,PORT09,,,,,,测试空运方式筛选
TC064,运输方式,陆运筛选,100kg货物从PORT08运到PORT09，走陆运,100,PORT08,PORT09,,,,,,测试陆运方式筛选
TC065,服务级别,门到门筛选,100kg货物从PORT08运到PORT09，门到门,100,PORT08,PORT09,,,,,,测试DTD服务筛选
TC066,服务级别,门到港筛选,100kg货物从PORT08运到PORT09，门到港,100,PORT08,PORT09,,,,,,测试DTP服务筛选
TC067,自然语言,口语化表达,我有点东西要从PORT08寄到PORT09，大概100公斤,100,PORT08,PORT09,,,,,,测试口语化输入解析
TC068,自然语言,完整句子,我需要把100公斤的货物从PORT08港口运输到PORT09港口，希望能在5天内送达,100,PORT08,PORT09,5,,,,测试完整句子解析
TC069,自然语言,省略表达,PORT08到PORT09，100kg，5天,100,PORT08,PORT09,5,,,,测试省略表达解析
TC070,自然语言,混合表达,帮我查一下从PORT08发100公斤货到PORT09要多少钱,100,PORT08,PORT09,,,,,,测试混合表达解析
